give,与える,あたえる
eat,食べる,たべる
think,考える,かんがえる
fly,飛ぶ,とぶ
travel,旅行する,りょこうする
sing,歌う,うたう
cut,切る,きる
have,持っている,もっている
go,行く,いく
stay,滞在する,たいざいする
keep,保存する,ほぞんする
play,遊ぶ,する,あそぶ
make,作る,～にする,つくる
laugh,笑う,わらう
smile,ほほえむ,微笑む
drink,飲む,のむ
start,始まる,始める,はじめる,はじまる
know,知っている,しっている
like,好き,好きだ,すき,すきだ
work,働く,機能する,作用する,はたらく,きのうする,さようする
speak,話す,はなす
run,走る,はしる
wait,待つ,まつ
teach,教える,おしえる
stop,止まる,とまる,やめる
help,手伝う,助ける,てつだう,たすける
turn,曲がる,まがる
return,戻る,もどる
buy,買う,かう
write,書く,かく
stand,立っている,たっている
tell,伝える,つたえる
move,動く,うごく
do,する
walk,歩く,あるく
rain,雨,雨が降る,あめ,あめがふる
watch,見る,みる
read,読む,よむ
study,勉強する,べんきょうする
end,終わる,おわる
talk,話す,はなす
show,見せる,みせる
clean,掃除する,綺麗な,そうじする,きれいな
call,～と呼ぶ,電話をかける,～とよぶ,でんわをかける
begin,始める,始まる,はじめる,はじまる
open,開ける,あける
close,閉める,近い,しめる,ちかい
look,見る,みる
say,言う,いう
try,試す,ためす
sleep,眠る,ねむる,寝る,ねる
finish,終える,終える,終わる,終わる,仕上げる,しあげる
drive,運転する,うんてんする
live,住んでいる,すんでいる
see,見える,会う,みえる,あう
learn,学ぶ,学習する,まなぶ,がくしゅうする
arrive,到着する,とうちゃくする
love,大好き,大好きだ,だいすき,だいすきだ
want,ほしい
need,必要とする,ひつようとする
smell,～のにおいがする
cook,料理する,りょうりする
leave,出発する,しゅっぱつする
paint,描く,塗る,かく,ぬる
send ,送る,おくる
listen,聞く,きく
hear,聞こえる,きこえる
sit,座る,すわる
fall,落ちる,おちる
take,とる,持っていく,もっていく
bring,持ってくる,もってくる
wash,洗う,あらう
snow,雪が降る,雪,ゆきがふる,ゆき
meet,会う,あう
use,使う,つかう
sound,～のように聞こえる,聞こえる,～のように聞こえる,きこえる
break,壊す,こわす
enjoy,楽しむ,たのしむ
parctice,練習する,練習,れんしゅうする,れんしゅう
come,来る,くる
ask,尋ねる,たずねる
pass,渡す,わたす
point,指さす,ゆびさす
draw,描く,ひきわけ,引き分け,かく
taste,～の味がする,～のあじがする,味,あじ
feel,～ように感じる,～ようにかんじる
become,～になる
swim,泳ぐ,およぐ
lend,貸す,かす
get,得る,える,～になる
temple,寺院,じいん
shrine,神社,じんじゃ
palace,宮殿,きゅうでん
calligraphy,書道,しょどう
pray,祈る,いのる
firework,花火,はなび
hot spring,温泉,おんせん
chopsticks,箸,はし
fan,扇,扇子,せんす,ファン
celebrate,祝う,いわう
flower,花,はな
sky,空,そら
mountain,山,やま
tree,木,き
star,星,スター,ほし
world,世界,せかい
ice,氷,こおり
village,村,むら
city,都市,市,とし,し
town,町,街,まち
station,駅,えき
line,線,～線,せん,～せん
hotel,ホテル
bookstore,本屋,ほんや
restaurant,レストラン
supermarket,スーパーマーケット
office,会社,オフィス,かいしゃ
hospital,病院,びょういん
park,公園,駐車する,こうえん,ちゅうしゃする
library,図書館,としょかん
street,通り,とおり
shop,店,みせ
shopping,買い物,かいもの
ticket,切符,チケット,きっぷ
comic,マンガ
doll,人形,にんぎょう
bag,鞄,バッグ,かばん
camera,カメラ
letter,手紙,てがみ
fishing,釣り,つり
song,歌,うた
house,家,いえ
floor,床,階,ゆか,かい
kitchen,台所,だいどころ
room,部屋,へや
bath,浴室,風呂,よくしつ,ふろ
pet,ペット
key,鍵,カギ,かぎ
sofa,ソファ
bed,ベッド
Burano,ブラノ,ブラーノ
water-bus,ウォーターバス
Venice,ヴェネツィア
breeze,風,かぜ
souvenir,お土産,おみやげ
lace,レース
fog,霧,きり
fishermen,漁師(複)
fisherman,漁師(単)
off shore,沖合
vivid,鮮やかです,ビビット
disc jockey,ディスクジョッキー
request,リクエスト
absolutely,絶対に
sang,サン
legendary,伝説,レジェンダリー,レジェンド
debut,デビュー
occupy,占める
chart,チャート
exactly,その通り
carnival,カーニバル
European,ヨーロッパ
costume,コスチューム
warn,警告
naughty,いたずら
prevent,防ぐ
harvest,収穫
vary,変化する
region,地域
symbolize,象徴する
reborn,生まれ変わった
expert,専門家
harm,危害
hummingbird,ハチドリ,はちどり
centimeter,センチメーター,cm,センチメートル
gram,グラム,gm
insect,昆虫
mainly,主に
nectar,(花の)蜜,みつ,蜜
flap,～をバタバタ動かす,～をばたばた動かす,ばたばた動かす,バタバタ動かす
wing,つばさ,翼
forth,前へ,まえへ
back and forth,前後に
hover,空中で静止する
hum,ブンブンいう
rush,大急ぎで
escape,逃げる
again and again,何度も何度も
give up,あきらめる